Entity_Name,Year,Quarter,Type,Registered_User
751001,2020,4,Pincode,11637193
700009,2020,4,Pincode,11305243
bengaluru urban,2020,1,District,200174352
pune,2020,1,District,107497963
hyderabad,2020,1,District,94177232
jaipur,2020,1,District,52623661
rangareddy,2020,1,District,31802492
visakhapatnam,2020,1,District,27115031
medchal malkajgiri,2020,1,District,25458101
central delhi,2020,1,District,24757650
mumbai suburban,2020,1,District,23598054
khordha,2020,1,District,23152370
bengaluru urban,2020,2,District,132120979
pune,2020,2,District,58840981
hyderabad,2020,2,District,56374644
jaipur,2020,2,District,43871862
visakhapatnam,2020,2,District,25300401
rangareddy,2020,2,District,18068048
medchal malkajgiri,2020,2,District,17860704
central delhi,2020,2,District,17641823
khordha,2020,2,District,16842715
ahmadabad,2020,2,District,16430916
bengaluru urban,2020,3,District,188947684
pune,2020,3,District,101472134
hyderabad,2020,3,District,99285803
jaipur,2020,3,District,71797182
visakhapatnam,2020,3,District,34421299
central delhi,2020,3,District,32203761
rangareddy,2020,3,District,29573243
bhopal,2020,3,District,29560361
medchal malkajgiri,2020,3,District,28698311
khordha,2020,3,District,23387123
bengaluru urban,2020,4,District,267720411
pune,2020,4,District,142350762
hyderabad,2020,4,District,117008707
jaipur,2020,4,District,82378485
rangareddy,2020,4,District,53405219
medchal malkajgiri,2020,4,District,49900746
visakhapatnam,2020,4,District,46551467
bhopal,2020,4,District,38492334
central delhi,2020,4,District,32194168
mumbai suburban,2020,4,District,31947471
karnataka,2020,1,State,240799614
maharashtra,2020,1,State,198437802
telangana,2020,1,State,174574540
andhra-pradesh,2020,1,State,111880529
rajasthan,2020,1,State,80189139
delhi,2020,1,State,79802045
uttar-pradesh,2020,1,State,60070225
madhya-pradesh,2020,1,State,55065995
tamil-nadu,2020,1,State,53798929
west-bengal,2020,1,State,51825562
karnataka,2020,2,State,173651821
maharashtra,2020,2,State,135223533
andhra-pradesh,2020,2,State,124528931
telangana,2020,2,State,118663850
rajasthan,2020,2,State,73282345
delhi,2020,2,State,64116800
uttar-pradesh,2020,2,State,49905606
west-bengal,2020,2,State,44044472
madhya-pradesh,2020,2,State,43938393
gujarat,2020,2,State,36335794
karnataka,2020,3,State,248557987
maharashtra,2020,3,State,208027137
telangana,2020,3,State,193224004
andhra-pradesh,2020,3,State,177967592
rajasthan,2020,3,State,114069049
delhi,2020,3,State,93659412
uttar-pradesh,2020,3,State,70597233
madhya-pradesh,2020,3,State,69312156
west-bengal,2020,3,State,63190999
tamil-nadu,2020,3,State,50325086
karnataka,2020,4,State,355436521
maharashtra,2020,4,State,311522209
telangana,2020,4,State,276576776
andhra-pradesh,2020,4,State,248770782
rajasthan,2020,4,State,141447464
delhi,2020,4,State,116383451
uttar-pradesh,2020,4,State,99285249
madhya-pradesh,2020,4,State,97191268
tamil-nadu,2020,4,State,81049861
west-bengal,2020,4,State,78023600
560001,2021,1,Pincode,111898471
500001,2021,1,Pincode,107274281
411004,2021,1,Pincode,99287169
302016,2021,1,Pincode,65639307
110006,2021,1,Pincode,46104924
462008,2021,1,Pincode,45920869
800001,2021,1,Pincode,30937663
600003,2021,1,Pincode,25512152
400070,2021,1,Pincode,25090098
751001,2021,1,Pincode,24151383
500001,2021,2,Pincode,148864777
560001,2021,2,Pincode,123224371
411004,2021,2,Pincode,120795663
302016,2021,2,Pincode,81782827
462008,2021,2,Pincode,57596018
110006,2021,2,Pincode,54888173
800001,2021,2,Pincode,42836603
600003,2021,2,Pincode,31694305
751001,2021,2,Pincode,30961581
700009,2021,2,Pincode,30775525
500001,2021,3,Pincode,173430239
560001,2021,3,Pincode,171396431
411004,2021,3,Pincode,155523883
302016,2021,3,Pincode,108659324
110006,2021,3,Pincode,77515502
462008,2021,3,Pincode,74987334
800001,2021,3,Pincode,49086869
444510,2021,3,Pincode,45378525
600003,2021,3,Pincode,42982007
751001,2021,3,Pincode,41875475
500001,2021,4,Pincode,213053128
560001,2021,4,Pincode,206723470
411004,2021,4,Pincode,185423020
302016,2021,4,Pincode,130544931
462008,2021,4,Pincode,97987017
110006,2021,4,Pincode,96850347
800001,2021,4,Pincode,61784983
444510,2021,4,Pincode,55162139
600003,2021,4,Pincode,54054310
751001,2021,4,Pincode,52532360
bengaluru urban,2021,1,District,348712787
pune,2021,1,District,208930588
hyderabad,2021,1,District,169703372
jaipur,2021,1,District,125917532
bhopal,2021,1,District,67309234
rangareddy,2021,1,District,60675056
medchal malkajgiri,2021,1,District,54854446
central delhi,2021,1,District,54173342
mumbai suburban,2021,1,District,49079788
visakhapatnam,2021,1,District,48248923
bengaluru urban,2021,2,District,326804307
pune,2021,2,District,218732925
hyderabad,2021,2,District,212326623
jaipur,2021,2,District,137247139
bhopal,2021,2,District,74643630
rangareddy,2021,2,District,63155281
central delhi,2021,2,District,62131856
medchal malkajgiri,2021,2,District,58755991
visakhapatnam,2021,2,District,54390299
patna,2021,2,District,53400850
bengaluru urban,2021,3,District,476485560
pune,2021,3,District,303322956
hyderabad,2021,3,District,262028284
jaipur,2021,3,District,193839196
bhopal,2021,3,District,103403998
central delhi,2021,3,District,88849847
rangareddy,2021,3,District,87884143
medchal malkajgiri,2021,3,District,79514766
khordha,2021,3,District,71647985
visakhapatnam,2021,3,District,69220981
bengaluru urban,2021,4,District,584958847
pune,2021,4,District,371337618
hyderabad,2021,4,District,325636475
