Year,Quarter,RegisteredUser,AppOpens
2020,3,15692405,696300382
2020,3,15692405,696300382
2020,3,15692405,696300382
2020,3,15692405,696300382
2020,4,17076565,869078538
2020,4,17076565,869078538
2020,4,17076565,869078538
2020,4,17076565,869078538
2021,1,18363733,957709447
2021,1,18363733,957709447
2021,1,18363733,957709447
2021,1,18363733,957709447
2021,2,19620905,1044705436
2021,2,19620905,1044705436
2021,2,19620905,1044705436
2021,2,19620905,1044705436
2021,3,21059898,1258536879
2021,3,21059898,1258536879
2021,3,21059898,1258536879
2021,3,21059898,1258536879
2021,4,22489029,1447717601
2021,4,22489029,1447717601
2021,4,22489029,1447717601
2021,4,22489029,1447717601
2022,1,23857951,1254785973
2022,1,23857951,1254785973
2022,1,23857951,1254785973
2022,1,23857951,1254785973
2022,2,25157264,1378736856
2022,2,25157264,1378736856
2022,2,25157264,1378736856
2022,2,25157264,1378736856
2022,3,26496330,1357005703
2022,3,26496330,1357005703
2022,3,26496330,1357005703
2022,3,26496330,1357005703
2022,4,27778016,1673374802
2022,4,27778016,1673374802
2022,4,27778016,1673374802
2022,4,27778016,1673374802
2018,1,21495,0
2018,1,21495,0
2018,1,21495,0
2018,1,21495,0
2018,2,32883,0
2018,2,32883,0
2018,2,32883,0
2018,2,32883,0
2018,3,45922,0
2018,3,45922,0
2018,3,45922,0
2018,3,45922,0
2018,4,61852,0
2018,4,61852,0
2018,4,61852,0
2018,4,61852,0
2019,1,76957,0
2019,1,76957,0
2019,1,76957,0
2019,1,76957,0
2019,2,95885,502873
2019,2,95885,502873
2019,2,95885,502873
2019,2,95885,502873
2019,3,112149,1811700
2019,3,112149,1811700
2019,3,112149,1811700
2019,3,112149,1811700
2019,4,129321,2140340
2019,4,129321,2140340
2019,4,129321,2140340
2019,4,129321,2140340
2020,1,149066,2598321
2020,1,149066,2598321
2020,1,149066,2598321
2020,1,149066,2598321
2020,2,177534,3387006
2020,2,177534,3387006
2020,2,177534,3387006
2020,2,177534,3387006
2020,3,206046,4003421
2020,3,206046,4003421
2020,3,206046,4003421
2020,3,206046,4003421
2020,4,231292,4472667
2020,4,231292,4472667
2020,4,231292,4472667
2020,4,231292,4472667
2021,1,251240,4796708
2021,1,251240,4796708
2021,1,251240,4796708
2021,1,251240,4796708
2021,2,270572,13025849
2021,2,270572,13025849
2021,2,270572,13025849
2021,2,270572,13025849
2021,3,293073,17209654
2021,3,293073,17209654
2021,3,293073,17209654
2021,3,293073,17209654
2021,4,314944,11230295
2021,4,314944,11230295
2021,4,314944,11230295
2021,4,314944,11230295
2022,1,335339,41418559
2022,1,335339,41418559
2022,1,335339,41418559
2022,1,335339,41418559
2022,2,354528,49889518
2022,2,354528,49889518
2022,2,354528,49889518
2022,2,354528,49889518
2022,3,373372,59722628
2022,3,373372,59722628
2022,3,373372,59722628
2022,3,373372,59722628
2022,4,390307,21775038
2022,4,390307,21775038
2022,4,390307,21775038
2022,4,390307,21775038
2018,1,385237,0
2018,1,385237,0
2018,1,385237,0
2018,1,385237,0
2018,2,571046,0
2018,2,571046,0
2018,2,571046,0
2018,2,571046,0
2018,3,784802,0
2018,3,784802,0
2018,3,784802,0
2018,3,784802,0
2018,4,1039221,0
2018,4,1039221,0
2018,4,1039221,0
2018,4,1039221,0
2019,1,1259085,0
2019,1,1259085,0
2019,1,1259085,0
2019,1,1259085,0
2019,2,1500128,7350326
2019,2,1500128,7350326
2019,2,1500128,7350326
2019,2,1500128,7350326
2019,3,1731523,25393673
2019,3,1731523,25393673
2019,3,1731523,25393673
2019,3,1731523,25393673
2019,4,1941220,26599449
2019,4,1941220,26599449
2019,4,1941220,26599449
2019,4,1941220,26599449
