Entity_Name,Year,Quarter,Type,Count,Amount,State
744104,2020,4,Pincode,7654,19126095.533284884,andaman-&-nicobar-islands
744112,2020,4,Pincode,7016,15890275.050448488,andaman-&-nicobar-islands
744205,2020,4,Pincode,5118,12002695.281042248,andaman-&-nicobar-islands
744201,2020,4,Pincode,5011,6777275.536669218,andaman-&-nicobar-islands
south andaman,2020,4,District,186494,523122462.883029,andaman-&-nicobar-islands
north and middle andaman,2020,4,District,29349,68941322.38839513,andaman-&-nicobar-islands
nicobars,2020,4,District,8688,35218871.04342848,andaman-&-nicobar-islands
744101,2021,1,Pincode,55726,190830957.0606181,andaman-&-nicobar-islands
744103,2021,1,Pincode,47328,158404100.7854989,andaman-&-nicobar-islands
744105,2021,1,Pincode,35467,111571687.43195169,andaman-&-nicobar-islands
744102,2021,1,Pincode,23957,80750048.8238959,andaman-&-nicobar-islands
744211,2021,1,Pincode,10648,34956327.94105429,andaman-&-nicobar-islands
744202,2021,1,Pincode,10597,28127629.877961583,andaman-&-nicobar-islands
744107,2021,1,Pincode,8848,19627951.469969153,andaman-&-nicobar-islands
744104,2021,1,Pincode,8799,27854306.51949638,andaman-&-nicobar-islands
744112,2021,1,Pincode,7113,21084790.0528014,andaman-&-nicobar-islands
744301,2021,1,Pincode,5630,22671937.31314759,andaman-&-nicobar-islands
south andaman,2021,1,District,207092,669604045.1248703,andaman-&-nicobar-islands
north and middle andaman,2021,1,District,27358,75027255.27919498,andaman-&-nicobar-islands
nicobars,2021,1,District,10302,39075266.9856904,andaman-&-nicobar-islands
744101,2021,2,Pincode,73334,227585492.7414593,andaman-&-nicobar-islands
744103,2021,2,Pincode,66321,174752815.1688521,andaman-&-nicobar-islands
744105,2021,2,Pincode,52645,134835744.22049245,andaman-&-nicobar-islands
744102,2021,2,Pincode,34289,100890426.76234055,andaman-&-nicobar-islands
744202,2021,2,Pincode,16476,40647907.96960775,andaman-&-nicobar-islands
744107,2021,2,Pincode,14524,24690581.539094776,andaman-&-nicobar-islands
744104,2021,2,Pincode,11278,28333852.06159348,andaman-&-nicobar-islands
744211,2021,2,Pincode,10182,20377949.346094526,andaman-&-nicobar-islands
744112,2021,2,Pincode,9635,21637658.167199604,andaman-&-nicobar-islands
744301,2021,2,Pincode,8463,27666837.39688266,andaman-&-nicobar-islands
south andaman,2021,2,District,286907,760893020.5704947,andaman-&-nicobar-islands
north and middle andaman,2021,2,District,39200,90233388.79463303,andaman-&-nicobar-islands
nicobars,2021,2,District,15307,48020606.74716838,andaman-&-nicobar-islands
744101,2021,3,Pincode,116324,388328168.7639693,andaman-&-nicobar-islands
744103,2021,3,Pincode,84790,246433385.80990067,andaman-&-nicobar-islands
744105,2021,3,Pincode,67257,185238368.4767078,andaman-&-nicobar-islands
744102,2021,3,Pincode,43850,131239564.16909727,andaman-&-nicobar-islands
744202,2021,3,Pincode,19088,48475163.574293144,andaman-&-nicobar-islands
744107,2021,3,Pincode,16203,37962312.09641009,andaman-&-nicobar-islands
744104,2021,3,Pincode,14657,35301326.114471875,andaman-&-nicobar-islands
744112,2021,3,Pincode,11565,28491553.61094001,andaman-&-nicobar-islands
744301,2021,3,Pincode,11553,43464511.051198,andaman-&-nicobar-islands
744211,2021,3,Pincode,9655,19497765.257140517,andaman-&-nicobar-islands
south andaman,2021,3,District,382418,1116789010.6459613,andaman-&-nicobar-islands
north and middle andaman,2021,3,District,46592,118254865.82750683,andaman-&-nicobar-islands
nicobars,2021,3,District,20754,74980519.32813609,andaman-&-nicobar-islands
744101,2021,4,Pincode,165719,533026207.9731797,andaman-&-nicobar-islands
744103,2021,4,Pincode,121613,372243734.27985656,andaman-&-nicobar-islands
744105,2021,4,Pincode,95028,281223411.7435058,andaman-&-nicobar-islands
744102,2021,4,Pincode,58258,174623253.47653326,andaman-&-nicobar-islands
744211,2021,4,Pincode,27938,94222862.10725296,andaman-&-nicobar-islands
744104,2021,4,Pincode,25662,69245386.0816525,andaman-&-nicobar-islands
744202,2021,4,Pincode,21913,67790798.04849821,andaman-&-nicobar-islands
744107,2021,4,Pincode,21397,52036029.9980372,andaman-&-nicobar-islands
744112,2021,4,Pincode,18915,55448543.43365714,andaman-&-nicobar-islands
744301,2021,4,Pincode,14553,47792330.70050094,andaman-&-nicobar-islands
