Year,Quarter,State,Count,Amount
2019,4,mizoram,125239,368689350.63448817
2019,4,nagaland,317170,834537138.3487769
2019,4,odisha,64995633,79769373632.04951
2019,4,puducherry,1012655,1932028317.8789022
2019,4,punjab,13698625,29989802246.19257
2019,4,rajasthan,85074242,159452410049.66812
2019,4,sikkim,767070,1176509601.656218
2019,4,tamil-nadu,56596411,103190865512.5439
2019,4,telangana,163572258,280746765547.7412
2019,4,tripura,801824,1215400160.2581902
2019,4,uttar-pradesh,86905005,145538926507.29413
2019,4,uttarakhand,7362116,12573706305.150837
2019,4,west-bengal,96805838,88203610254.64717
2020,1,andaman-&-nicobar-islands,41298,161476312.2972747
2020,1,andhra-pradesh,127677357,252737214289.05884
2020,1,arunachal-pradesh,567175,1381758681.3301466
2020,1,assam,8808860,20668428347.729362
2020,1,bihar,45081815,109256853527.24724
2020,1,chandigarh,2262511,5126453070.016205
2020,1,chhattisgarh,19523991,32860597671.356594
2020,1,dadra-&-nagar-haveli-&-daman-&-diu,878579,1342763369.292518
2020,1,delhi,81747604,133616543642.5902
2020,1,goa,1881237,3410371231.923764
2020,1,gujarat,47326417,86995076621.9043
2020,1,haryana,44036087,81976214558.24487
2020,1,himachal-pradesh,4144480,7419466751.122747
2020,1,jammu-&-kashmir,921630,2937643176.5340366
2020,1,jharkhand,18282713,33611232153.268955
2020,1,karnataka,271033890,353402054999.39056
2020,1,kerala,15733522,26451084830.9343
2020,1,ladakh,116419,377639677.4457433
2020,1,lakshadweep,5151,13502368.574504208
2020,1,madhya-pradesh,79366746,126737281436.19928
2020,1,maharashtra,238944081,319995196718.0889
2020,1,manipur,818801,2598590380.8769507
2020,1,meghalaya,502283,1120134840.9078138
2020,1,mizoram,153609,392077579.3496371
2020,1,nagaland,378051,894780028.7343677
2020,1,odisha,53682307,91956798199.33626
2020,1,puducherry,1207921,2205277477.0795846
2020,1,punjab,15217784,31374185265.90002
2020,1,rajasthan,102258812,190308238561.0086
2020,1,sikkim,528118,1053476271.9444016
2020,1,tamil-nadu,66953473,116569686179.44409
2020,1,telangana,199409525,371343780368.2145
2020,1,tripura,924502,1588778806.3885024
2020,1,uttar-pradesh,97239132,172416434960.70496
2020,1,uttarakhand,9131784,16158080258.987625
2020,1,west-bengal,66250381,96653305190.9387
2020,2,andaman-&-nicobar-islands,62962,169645001.41414714
2020,2,andhra-pradesh,144917855,302583689746.5663
2020,2,arunachal-pradesh,808774,1826716832.9849677
2020,2,assam,10505199,19766300125.919365
2020,2,bihar,53386742,128806523628.84396
2020,2,chandigarh,1528010,3847015729.690074
2020,2,chhattisgarh,18820925,32268382206.901108
2020,2,dadra-&-nagar-haveli-&-daman-&-diu,973152,1302376453.8880565
2020,2,delhi,66042018,107873438203.33096
2020,2,goa,1482092,2183616430.0167713
2020,2,gujarat,47420185,80387846359.49086
2020,2,haryana,41781050,80711264923.94063
2020,2,himachal-pradesh,4695730,8036904762.543922
2020,2,jammu-&-kashmir,2635006,8265648939.258561
2020,2,jharkhand,20141511,37486201975.92356
2020,2,karnataka,213221712,321104877020.1406
2020,2,kerala,16287967,25894078478.600113
2020,2,ladakh,155010,523792998.6520247
2020,2,lakshadweep,7220,16942922.085944396
2020,2,madhya-pradesh,76340573,147922015289.06403
2020,2,maharashtra,184790761,296359517159.4233
2020,2,manipur,1083068,3198936212.8055096
2020,2,meghalaya,635395,1153735154.3383975
2020,2,mizoram,198462,457193433.4423192
2020,2,nagaland,517566,1137674504.3478029
2020,2,odisha,50028576,91733036612.09781
2020,2,puducherry,1033383,1960030980.4875903
2020,2,punjab,14081294,30284654252.213554
2020,2,rajasthan,101954656,193763273003.26578
2020,2,sikkim,517731,1054618788.2612665
2020,2,tamil-nadu,51870110,95826508896.82903
2020,2,telangana,152055143,321531839352.4324
2020,2,tripura,1052520,1769175883.5859666
2020,2,uttar-pradesh,100851965,178744016130.28894
2020,2,uttarakhand,9047770,16094187702.10101
2020,2,west-bengal,57676797,100099431877.35461
2020,3,andaman-&-nicobar-islands,117483,338019446.3303603
2020,3,andhra-pradesh,204902935,467084130584.90576
2020,3,arunachal-pradesh,962827,2609938565.558217
2020,3,assam,12397711,29831391259.543964
2020,3,bihar,71503748,173328865111.81827
2020,3,chandigarh,2158086,5089809353.36507
2020,3,chhattisgarh,24148539,41526744807.53401
2020,3,dadra-&-nagar-haveli-&-daman-&-diu,1138312,1749789114.9993632
2020,3,delhi,96491861,175163962804.66058
2020,3,goa,1915531,3368343580.9446583
2020,3,gujarat,59290179,111921752484.71176
2020,3,haryana,57938179,109567950445.73018
2020,3,himachal-pradesh,5489876,10516054014.086977
2020,3,jammu-&-kashmir,3465898,11977229760.872467
2020,3,jharkhand,27068473,50622615820.01373
2020,3,karnataka,300360531,470740515696.68195
2020,3,kerala,21758680,40164150651.95425
2020,3,ladakh,228222,835487500.0581932
2020,3,lakshadweep,8589,21306833.308656827
2020,3,madhya-pradesh,108579881,205701679984.5356
2020,3,maharashtra,268310924,440307079012.4383
2020,3,manipur,1420168,4615976120.870511
2020,3,meghalaya,597579,1237059001.3830361
2020,3,mizoram,254703,707944175.5046004
2020,3,nagaland,736319,2009649143.1547937
2020,3,odisha,66033829,122463943804.29164
2020,3,puducherry,1730902,3598080229.434601
2020,3,punjab,17209573,40123092147.81334
2020,3,rajasthan,149088676,293678306162.4561
2020,3,sikkim,596435,1400926728.6603985
2020,3,tamil-nadu,70277825,143841415498.66345
2020,3,telangana,236372126,505961144755.87006
2020,3,tripura,1317885,2341819516.2158847
2020,3,uttar-pradesh,127405259,248689955423.06213
2020,3,uttarakhand,11818935,22103510968.00649
2020,3,west-bengal,79954504,156813355855.14075
2020,4,andaman-&-nicobar-islands,224531,627282656.3148526
2020,4,andhra-pradesh,286118552,654841546033.3297
2020,4,arunachal-pradesh,1209129,3570264021.8456225
2020,4,assam,15423454,40226611319.264206
2020,4,bihar,96591673,238905613136.4728
2020,4,chandigarh,2912716,6146762901.349346
2020,4,chhattisgarh,35529636,62214974283.94867
2020,4,dadra-&-nagar-haveli-&-daman-&-diu,1817791,2700511100.8285036
2020,4,delhi,120540417,216265088224.54364
2020,4,goa,3801381,6899792747.579937
2020,4,gujarat,77828547,148393060112.43903
2020,4,haryana,83171439,159998504366.54138
2020,4,himachal-pradesh,7272328,13989053108.812904
2020,4,jammu-&-kashmir,5754444,15380905803.37819
2020,4,jharkhand,39431633,72805174830.04353
2020,4,karnataka,431536984,658036698565.0181
2020,4,kerala,33288187,56755256647.011314
2020,4,ladakh,332134,1111963470.5079606
2020,4,lakshadweep,11650,30111317.91708039
2020,4,madhya-pradesh,153652541,284275139772.3701
2020,4,maharashtra,407621004,622155530832.3054
2020,4,manipur,1627852,5602224558.4587555
2020,4,meghalaya,754008,1804242572.198973
2020,4,mizoram,322607,986522115.6939588
2020,4,nagaland,847825,2773084870.5626874
2020,4,odisha,92324950,178302663014.61615
2020,4,puducherry,2716003,4930526217.671212
2020,4,punjab,22997925,53775406479.55513
2020,4,rajasthan,190283435,386034779836.5073
2020,4,sikkim,735035,1919275805.122924
2020,4,tamil-nadu,111179701,206473197500.99323
2020,4,telangana,343643787,696350439226.9595
2020,4,tripura,1651890,3182130996.221312
2020,4,uttar-pradesh,178167517,357428826778.26715
2020,4,uttarakhand,17613271,31792739329.110332
2020,4,west-bengal,100340645,199165491365.64862
2021,1,andaman-&-nicobar-islands,244752,783706567.3897556
2021,1,andhra-pradesh,289747970,672444670176.6157
2021,1,arunachal-pradesh,1177456,3813779079.0166435
2021,1,assam,19512060,51326464546.12253
2021,1,bihar,114932477,280973649701.2278
2021,1,chandigarh,3970237,7596420859.545994
2021,1,chhattisgarh,39436437,69409843261.55185
2021,1,dadra-&-nagar-haveli-&-daman-&-diu,1925244,2965632911.1935043
2021,1,delhi,157359004,266928345043.4927
2021,1,goa,5331549,9757242879.021412
2021,1,gujarat,94774565,183700780713.4512
2021,1,haryana,90252784,168938301082.42853
2021,1,himachal-pradesh,7614029,14120546909.487509
2021,1,jammu-&-kashmir,6997570,17138349893.151716
2021,1,jharkhand,44621663,83749353123.1398
2021,1,karnataka,523797492,754995357412.3923
2021,1,kerala,42316342,69260970161.89473
2021,1,ladakh,275415,983419813.2468791
2021,1,lakshadweep,9085,27042782.914081156
2021,1,madhya-pradesh,201998498,343533954382.2885
2021,1,maharashtra,517860240,769887352153.2488
2021,1,manipur,2303535,7070287514.479234
2021,1,meghalaya,747646,2055515277.989834
2021,1,mizoram,329575,1101105586.9459374
2021,1,nagaland,975897,3107450484.6131907
2021,1,odisha,111460358,213397736188.34164
2021,1,puducherry,3309432,5899309571.743645
2021,1,punjab,26770835,58690887091.10674
2021,1,rajasthan,252730919,491492581657.6465
2021,1,sikkim,800189,2217667726.8407245
2021,1,tamil-nadu,136556674,248668143873.65155
2021,1,telangana,412572110,799359264046.5911
2021,1,tripura,1511423,3335341569.793421
2021,1,uttar-pradesh,204499547,396287587577.56683
2021,1,uttarakhand,20608402,36288189399.898415
2021,1,west-bengal,118254052,242937207475.52222
2021,2,andaman-&-nicobar-islands,341414,899147016.1122959
2021,2,andhra-pradesh,352767134,850737499108.2378
2021,2,arunachal-pradesh,1568338,4456425616.99438
2021,2,assam,25432905,59192473376.66389
2021,2,bihar,155603622,374580255186.579
2021,2,chandigarh,4417547,8417673939.936101
2021,2,chhattisgarh,44689420,78728771259.2258
2021,2,dadra-&-nagar-haveli-&-daman-&-diu,2125083,3157668461.4189034
2021,2,delhi,170157264,281941097684.5415
2021,2,goa,4710135,8012853587.075999
2021,2,gujarat,111841396,210162054552.11618
2021,2,haryana,105680856,200357354238.68344
